"timestamp","feedback","upvotes","downvotes"
"2025-07-04 15:31:21","The water pipes are under repair most of the times creating inconvinience.","0","0"
"2025-07-04 15:31:28"," There is no supply of cold drinking water.","1","0"
"2025-07-04 15:32:07","Rooms are well maintained with 5 seater and 4 seater availability with choices for AC and cooler","1","0"
"2025-07-04 15:32:52","Bathrooms are sometimes not clean but daily maintained","1","0"
"2025-07-04 15:33:13","balcony view is very good.","1","0"
